countryname,indicatorname,year_2017,target_groups
Kazakhstan,GDP per capita (current US$),9247.5813310000,Moderately Happy
Kazakhstan,GDP per capita growth (annual %),2.6934321340,Moderately Happy
Kazakhstan,"Incidence of tuberculosis (per 100,000 people)",69.0000000000,Moderately Happy
Kazakhstan,Individuals using the Internet (% of population),76.4267482300,Moderately Happy
Kazakhstan,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",69.2460022000,Moderately Happy
Kazakhstan,"Life expectancy at birth, female (years)",76.9200000000,Moderately Happy
Kazakhstan,"Life expectancy at birth, male (years)",68.7200000000,Moderately Happy
Kazakhstan,"Life expectancy at birth, total (years)",72.9500000000,Moderately Happy
Kazakhstan,Lifetime risk of maternal death (%),0.0285209980,Moderately Happy
Kazakhstan,Mobile cellular subscriptions (per 100 people),147.6397785000,Moderately Happy
Kazakhstan,"Mortality rate, infant (per 1,000 live births)",9.2000000000,Moderately Happy
Kazakhstan,Net migration,-90000.0000000000,Moderately Happy
Kazakhstan,Rural population (% of total population),42.6640000000,Moderately Happy
Kazakhstan,Secure Internet servers (per 1 million people),1232.2472570000,Moderately Happy
Kazakhstan,"Survival to age 65, female (% of cohort)",84.8316940000,Moderately Happy
Kazakhstan,"Survival to age 65, male (% of cohort)",67.2020120000,Moderately Happy
Kazakhstan,"Tuberculosis case detection rate (%, all forms)",100.0000000000,Moderately Happy
Kazakhstan,Urban population (% of total population),57.3360000000,Moderately Happy
Kenya,"Birth rate, crude (per 1,000 people)",29.2960000000,Moderately Sad
Kenya,Employment in agriculture (% of total employment) (modeled ILO estimate),55.9080009500,Moderately Sad
Kenya,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",62.1640014600,Moderately Sad
Kenya,"Employment in industry, female (% of female employment) (modeled ILO estimate)",1.9329999690,Moderately Sad
Kenya,"Employment in services, female (% of female employment) (modeled ILO estimate)",35.9029998800,Moderately Sad
Kenya,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",75.8239975000,Moderately Sad
Kenya,Fixed telephone subscriptions (per 100 people),0.1391067530,Moderately Sad
Kenya,GDP per capita (current US$),1572.3354960000,Moderately Sad
Kenya,GDP per capita growth (annual %),2.3645028670,Moderately Sad
Kenya,"Incidence of tuberculosis (per 100,000 people)",319.0000000000,Moderately Sad
Kenya,Individuals using the Internet (% of population),17.8271002100,Moderately Sad
Kenya,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",74.7770004300,Moderately Sad
Kenya,"Life expectancy at birth, female (years)",68.2440000000,Moderately Sad
Kenya,"Life expectancy at birth, male (years)",63.5390000000,Moderately Sad
Kenya,"Life expectancy at birth, total (years)",65.9090000000,Moderately Sad
Kenya,Lifetime risk of maternal death (%),1.3122380420,Moderately Sad
Kenya,Mobile cellular subscriptions (per 100 people),85.2531569300,Moderately Sad
Kenya,"Mortality rate, infant (per 1,000 live births)",31.8000000000,Moderately Sad
Kenya,Net migration,-50000.0000000000,Moderately Sad
Kenya,Rural population (% of total population),73.4380000000,Moderately Sad
Kenya,Secure Internet servers (per 1 million people),36.5779793000,Moderately Sad
Kenya,"Survival to age 65, female (% of cohort)",70.5203840000,Moderately Sad
Kenya,"Survival to age 65, male (% of cohort)",60.6894370000,Moderately Sad
Kenya,"Tuberculosis case detection rate (%, all forms)",52.0000000000,Moderately Sad
Kenya,Urban population (% of total population),26.5620000000,Moderately Sad
Kuwait,"Birth rate, crude (per 1,000 people)",14.6510000000,Moderately Happy
Kuwait,Employment in agriculture (% of total employment) (modeled ILO estimate),2.1229999070,Moderately Happy
Kuwait,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.0330000000,Moderately Happy
Kuwait,"Employment in industry, female (% of female employment) (modeled ILO estimate)",3.4549999240,Moderately Happy
Kuwait,"Employment in services, female (% of female employment) (modeled ILO estimate)",96.5120010400,Moderately Happy
Kuwait,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",86.9240036000,Moderately Happy
Kuwait,Fixed telephone subscriptions (per 100 people),13.3646146200,Moderately Happy
Kuwait,GDP per capita (current US$),29759.4364900000,Moderately Happy
Kuwait,GDP per capita growth (annual %),-7.0431257360,Moderately Happy
Kuwait,"Incidence of tuberculosis (per 100,000 people)",28.0000000000,Moderately Happy
Kuwait,Individuals using the Internet (% of population),100.0000000000,Moderately Happy
Kuwait,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",73.2549972500,Moderately Happy
Kuwait,"Life expectancy at birth, female (years)",76.3640000000,Moderately Happy
Kuwait,"Life expectancy at birth, male (years)",74.5840000000,Moderately Happy
Kuwait,"Life expectancy at birth, total (years)",75.3110000000,Moderately Happy
Kuwait,Lifetime risk of maternal death (%),0.0236953820,Moderately Happy
Kuwait,Mobile cellular subscriptions (per 100 people),176.0024349000,Moderately Happy
Kuwait,"Mortality rate, infant (per 1,000 live births)",6.9000000000,Moderately Happy
Kuwait,Net migration,197600.0000000000,Moderately Happy
Kuwait,Rural population (% of total population),0.0000000000,Moderately Happy
Kuwait,Secure Internet servers (per 1 million people),484.2090886000,Moderately Happy
Kuwait,"Survival to age 65, female (% of cohort)",89.8137400000,Moderately Happy
Kuwait,"Survival to age 65, male (% of cohort)",86.7765040000,Moderately Happy
Kuwait,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Kuwait,Urban population (% of total population),100.0000000000,Moderately Happy
Kyrgyzstan,"Birth rate, crude (per 1,000 people)",24.8000000000,Moderately Sad
Kyrgyzstan,Employment in agriculture (% of total employment) (modeled ILO estimate),23.0279998800,Moderately Sad
Kyrgyzstan,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",22.2460002900,Moderately Sad
Kyrgyzstan,"Employment in industry, female (% of female employment) (modeled ILO estimate)",12.9060001400,Moderately Sad
Kyrgyzstan,"Employment in services, female (% of female employment) (modeled ILO estimate)",64.8479995700,Moderately Sad
Kyrgyzstan,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",70.9570007300,Moderately Sad
Kyrgyzstan,Fixed telephone subscriptions (per 100 people),5.8530472960,Moderately Sad
Kyrgyzstan,GDP per capita (current US$),1242.7696430000,Moderately Sad
Kyrgyzstan,GDP per capita growth (annual %),2.7340919190,Moderately Sad
Kyrgyzstan,"Incidence of tuberculosis (per 100,000 people)",124.0000000000,Moderately Sad
Kyrgyzstan,Individuals using the Internet (% of population),38.0000000000,Moderately Sad
Kyrgyzstan,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",60.2039985700,Moderately Sad
Kyrgyzstan,"Life expectancy at birth, female (years)",75.4000000000,Moderately Sad
Kyrgyzstan,"Life expectancy at birth, male (years)",67.2000000000,Moderately Sad
Kyrgyzstan,"Life expectancy at birth, total (years)",71.2000000000,Moderately Sad
Kyrgyzstan,Lifetime risk of maternal death (%),0.2073769230,Moderately Sad
Kyrgyzstan,Mobile cellular subscriptions (per 100 people),136.8066442000,Moderately Sad
Kyrgyzstan,"Mortality rate, infant (per 1,000 live births)",17.9000000000,Moderately Sad
Kyrgyzstan,Net migration,-20000.0000000000,Moderately Sad
Kyrgyzstan,Rural population (% of total population),63.8650000000,Moderately Sad
Kyrgyzstan,Secure Internet servers (per 1 million people),103.0944468000,Moderately Sad
Kyrgyzstan,"Survival to age 65, female (% of cohort)",83.7941350000,Moderately Sad
Kyrgyzstan,"Survival to age 65, male (% of cohort)",67.9194390000,Moderately Sad
Kyrgyzstan,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Sad
Kyrgyzstan,Urban population (% of total population),36.1350000000,Moderately Sad
Laos,"Birth rate, crude (per 1,000 people)",23.9550000000,Moderately Sad
Laos,Employment in agriculture (% of total employment) (modeled ILO estimate),64.1610031100,Moderately Sad
Laos,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",66.0879974400,Moderately Sad
Laos,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.5229997630,Moderately Sad
Laos,"Employment in services, female (% of female employment) (modeled ILO estimate)",25.3889999400,Moderately Sad
Laos,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",79.6200027500,Moderately Sad
Laos,Fixed telephone subscriptions (per 100 people),16.1867299700,Moderately Sad
Laos,GDP per capita (current US$),2423.8462030000,Moderately Sad
Laos,GDP per capita growth (annual %),5.2446600520,Moderately Sad
Laos,"Incidence of tuberculosis (per 100,000 people)",168.0000000000,Moderately Sad
Laos,Individuals using the Internet (% of population),25.5104350800,Moderately Sad
Laos,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",78.4489975000,Moderately Sad
Laos,"Life expectancy at birth, female (years)",69.0740000000,Moderately Sad
Laos,"Life expectancy at birth, male (years)",65.5080000000,Moderately Sad
Laos,"Life expectancy at birth, total (years)",67.2770000000,Moderately Sad
Laos,Lifetime risk of maternal death (%),0.5624979380,Moderately Sad
Laos,Mobile cellular subscriptions (per 100 people),53.3840689700,Moderately Sad
Laos,"Mortality rate, infant (per 1,000 live births)",39.0000000000,Moderately Sad
Laos,Net migration,-73518.0000000000,Moderately Sad
Laos,Rural population (% of total population),65.6320000000,Moderately Sad
Laos,Secure Internet servers (per 1 million people),16.3957178400,Moderately Sad
Laos,"Survival to age 65, female (% of cohort)",73.2997070000,Moderately Sad
Laos,"Survival to age 65, male (% of cohort)",65.7549010000,Moderately Sad
Laos,"Tuberculosis case detection rate (%, all forms)",49.0000000000,Moderately Sad
Laos,Urban population (% of total population),34.3680000000,Moderately Sad
Latvia,"Birth rate, crude (per 1,000 people)",10.7000000000,Moderately Happy
Latvia,Employment in agriculture (% of total employment) (modeled ILO estimate),6.8680000310,Moderately Happy
Latvia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",4.2039999960,Moderately Happy
Latvia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",12.8540000900,Moderately Happy
Latvia,"Employment in services, female (% of female employment) (modeled ILO estimate)",82.9420013400,Moderately Happy
Latvia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",61.6300010700,Moderately Happy
Latvia,Fixed telephone subscriptions (per 100 people),17.5437715300,Moderately Happy
Latvia,GDP per capita (current US$),15586.5818900000,Moderately Happy
Latvia,GDP per capita growth (annual %),4.7111807760,Moderately Happy
Latvia,"Incidence of tuberculosis (per 100,000 people)",32.0000000000,Moderately Happy
Latvia,Individuals using the Internet (% of population),80.1140770000,Moderately Happy
Latvia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",61.2109985400,Moderately Happy
Latvia,"Life expectancy at birth, female (years)",79.7000000000,Moderately Happy
Latvia,"Life expectancy at birth, male (years)",69.8000000000,Moderately Happy
Latvia,"Life expectancy at birth, total (years)",74.6292682900,Moderately Happy
Latvia,Lifetime risk of maternal death (%),0.0324607550,Moderately Happy
Latvia,Mobile cellular subscriptions (per 100 people),126.2941822000,Moderately Happy
Latvia,"Mortality rate, infant (per 1,000 live births)",3.6000000000,Moderately Happy
Latvia,Net migration,-74186.0000000000,Moderately Happy
Latvia,Rural population (% of total population),31.9250000000,Moderately Happy
Latvia,Secure Internet servers (per 1 million people),11948.0107600000,Moderately Happy
Latvia,"Survival to age 65, female (% of cohort)",86.2922820000,Moderately Happy
Latvia,"Survival to age 65, male (% of cohort)",67.1205560000,Moderately Happy
Latvia,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Latvia,Urban population (% of total population),68.0750000000,Moderately Happy
Lebanon,"Birth rate, crude (per 1,000 people)",17.6700000000,Apathetic
Lebanon,Employment in agriculture (% of total employment) (modeled ILO estimate),14.0039997100,Apathetic
Lebanon,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",15.0139999400,Apathetic
Lebanon,"Employment in industry, female (% of female employment) (modeled ILO estimate)",14.7720003100,Apathetic
Lebanon,"Employment in services, female (% of female employment) (modeled ILO estimate)",70.2129974400,Apathetic
Lebanon,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",67.9639968900,Apathetic
Lebanon,Fixed telephone subscriptions (per 100 people),13.3132620800,Apathetic
Lebanon,GDP per capita (current US$),7801.1786580000,Apathetic
Lebanon,GDP per capita growth (annual %),-0.6409474060,Apathetic
Lebanon,"Incidence of tuberculosis (per 100,000 people)",10.0000000000,Apathetic
Lebanon,Individuals using the Internet (% of population),78.1807748900,Apathetic
Lebanon,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",46.9850006100,Apathetic
Lebanon,"Life expectancy at birth, female (years)",80.7860000000,Apathetic
Lebanon,"Life expectancy at birth, male (years)",77.0310000000,Apathetic
Lebanon,"Life expectancy at birth, total (years)",78.8330000000,Apathetic
Lebanon,Lifetime risk of maternal death (%),0.0630833850,Apathetic
Lebanon,Mobile cellular subscriptions (per 100 people),64.5086432400,Apathetic
Lebanon,"Mortality rate, infant (per 1,000 live births)",6.6000000000,Apathetic
Lebanon,Net migration,-150060.0000000000,Apathetic
Lebanon,Rural population (% of total population),11.5710000000,Apathetic
Lebanon,Secure Internet servers (per 1 million people),119.3504342000,Apathetic
Lebanon,"Survival to age 65, female (% of cohort)",90.5629660000,Apathetic
Lebanon,"Survival to age 65, male (% of cohort)",86.0949470000,Apathetic
Lebanon,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Apathetic
Lebanon,Urban population (% of total population),88.4290000000,Apathetic
Lesotho,"Birth rate, crude (per 1,000 people)",27.1700000000,Very Sad
Lesotho,Employment in agriculture (% of total employment) (modeled ILO estimate),9.0260000230,Very Sad
Lesotho,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",3.1630001070,Very Sad
Lesotho,"Employment in industry, female (% of female employment) (modeled ILO estimate)",31.9160003700,Very Sad
Lesotho,"Employment in services, female (% of female employment) (modeled ILO estimate)",64.9209976200,Very Sad
Lesotho,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",59.9189987200,Very Sad
Lesotho,Fixed telephone subscriptions (per 100 people),0.5085740900,Very Sad
Lesotho,GDP per capita (current US$),1150.0791730000,Very Sad
Lesotho,GDP per capita growth (annual %),-2.0959992650,Very Sad
Lesotho,"Incidence of tuberculosis (per 100,000 people)",665.0000000000,Very Sad
Lesotho,Individuals using the Internet (% of population),29.0000000000,Very Sad
Lesotho,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",67.8529968300,Very Sad
Lesotho,"Life expectancy at birth, female (years)",56.1940000000,Very Sad
Lesotho,"Life expectancy at birth, male (years)",49.8370000000,Very Sad
Lesotho,"Life expectancy at birth, total (years)",52.9470000000,Very Sad
Lesotho,Lifetime risk of maternal death (%),1.7344699400,Very Sad
Lesotho,Mobile cellular subscriptions (per 100 people),113.8305187000,Very Sad
Lesotho,"Mortality rate, infant (per 1,000 live births)",68.8000000000,Very Sad
Lesotho,Net migration,-50234.0000000000,Very Sad
Lesotho,Rural population (% of total population),72.2700000000,Very Sad
Lesotho,Secure Internet servers (per 1 million people),20.0821263300,Very Sad
Lesotho,"Survival to age 65, female (% of cohort)",46.3713680000,Very Sad
Lesotho,"Survival to age 65, male (% of cohort)",31.7799470000,Very Sad
Lesotho,"Tuberculosis case detection rate (%, all forms)",51.0000000000,Very Sad
Lesotho,Urban population (% of total population),27.7300000000,Very Sad
Liberia,"Birth rate, crude (per 1,000 people)",33.4260000000,Very Sad
Liberia,Employment in agriculture (% of total employment) (modeled ILO estimate),43.7410011300,Very Sad
Liberia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",42.3569984400,Very Sad
Liberia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",5.1240000720,Very Sad
Liberia,"Employment in services, female (% of female employment) (modeled ILO estimate)",52.5190010100,Very Sad
Liberia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",78.0899963400,Very Sad
Liberia,GDP per capita (current US$),698.7017644000,Very Sad
Liberia,GDP per capita growth (annual %),-0.0469852700,Very Sad
Liberia,"Incidence of tuberculosis (per 100,000 people)",308.0000000000,Very Sad
Liberia,Individuals using the Internet (% of population),7.9844797220,Very Sad
Liberia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",76.5459976200,Very Sad
Liberia,"Life expectancy at birth, female (years)",64.6800000000,Very Sad
Liberia,"Life expectancy at birth, male (years)",61.9110000000,Very Sad
Liberia,"Life expectancy at birth, total (years)",63.2950000000,Very Sad
Liberia,Lifetime risk of maternal death (%),3.0803467260,Very Sad
Liberia,Mobile cellular subscriptions (per 100 people),56.5689526600,Very Sad
Liberia,"Mortality rate, infant (per 1,000 live births)",55.0000000000,Very Sad
Liberia,Net migration,-25000.0000000000,Very Sad
Liberia,Rural population (% of total population),49.3030000000,Very Sad
Liberia,Secure Internet servers (per 1 million people),1.9139863060,Very Sad
Liberia,"Survival to age 65, female (% of cohort)",66.4121690000,Very Sad
Liberia,"Survival to age 65, male (% of cohort)",60.6279470000,Very Sad
Liberia,"Tuberculosis case detection rate (%, all forms)",53.0000000000,Very Sad
Liberia,Urban population (% of total population),50.6970000000,Very Sad
Libya,"Birth rate, crude (per 1,000 people)",19.3800000000,Apathetic
Libya,Employment in agriculture (% of total employment) (modeled ILO estimate),19.0750007600,Apathetic
Libya,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",22.7189998600,Apathetic
Libya,"Employment in industry, female (% of female employment) (modeled ILO estimate)",11.9680004100,Apathetic
Libya,"Employment in services, female (% of female employment) (modeled ILO estimate)",65.3130035400,Apathetic
Libya,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",55.2099990800,Apathetic
Libya,Fixed telephone subscriptions (per 100 people),23.9487326900,Apathetic
Libya,GDP per capita (current US$),5756.6984500000,Apathetic
Libya,GDP per capita growth (annual %),24.9760961800,Apathetic
Libya,"Incidence of tuberculosis (per 100,000 people)",40.0000000000,Apathetic
Libya,Individuals using the Internet (% of population),21.7589206200,Apathetic
Libya,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",49.7019996600,Apathetic
Libya,"Life expectancy at birth, female (years)",75.6190000000,Apathetic
Libya,"Life expectancy at birth, male (years)",69.6720000000,Apathetic
Libya,"Life expectancy at birth, total (years)",72.5200000000,Apathetic
Libya,Lifetime risk of maternal death (%),0.1694406390,Apathetic
Libya,Mobile cellular subscriptions (per 100 people),91.4792962000,Apathetic
Libya,"Mortality rate, infant (per 1,000 live births)",10.6000000000,Apathetic
Libya,Net migration,-9997.0000000000,Apathetic
Libya,Rural population (% of total population),20.1830000000,Apathetic
Libya,Secure Internet servers (per 1 million people),938.1946424000,Apathetic
Libya,"Survival to age 65, female (% of cohort)",83.6551660000,Apathetic
Libya,"Survival to age 65, male (% of cohort)",72.2136320000,Apathetic
Libya,"Tuberculosis case detection rate (%, all forms)",52.0000000000,Apathetic
Libya,Urban population (% of total population),79.8170000000,Apathetic
Lithuania,"Birth rate, crude (per 1,000 people)",10.1000000000,Moderately Happy
Lithuania,Employment in agriculture (% of total employment) (modeled ILO estimate),7.7839999200,Moderately Happy
Lithuania,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",5.3990001680,Moderately Happy
Lithuania,"Employment in industry, female (% of female employment) (modeled ILO estimate)",15.5670003900,Moderately Happy
Lithuania,"Employment in services, female (% of female employment) (modeled ILO estimate)",79.0350036600,Moderately Happy
Lithuania,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",61.0660018900,Moderately Happy
Lithuania,Fixed telephone subscriptions (per 100 people),17.1115697000,Moderately Happy
Lithuania,GDP per capita (current US$),16882.6394700000,Moderately Happy
Lithuania,GDP per capita growth (annual %),5.7155332250,Moderately Happy
Lithuania,"Incidence of tuberculosis (per 100,000 people)",51.0000000000,Moderately Happy
Lithuania,Individuals using the Internet (% of population),77.6152565100,Moderately Happy
Lithuania,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",60.9049987800,Moderately Happy
Lithuania,"Life expectancy at birth, female (years)",80.5000000000,Moderately Happy
Lithuania,"Life expectancy at birth, male (years)",70.7000000000,Moderately Happy
Lithuania,"Life expectancy at birth, total (years)",75.4804878000,Moderately Happy
Lithuania,Lifetime risk of maternal death (%),0.0133372130,Moderately Happy
Lithuania,Mobile cellular subscriptions (per 100 people),153.2757272000,Moderately Happy
Lithuania,"Mortality rate, infant (per 1,000 live births)",3.6000000000,Moderately Happy
Lithuania,Net migration,-163902.0000000000,Moderately Happy
Lithuania,Rural population (% of total population),32.4840000000,Moderately Happy
Lithuania,Secure Internet servers (per 1 million people),13058.2523100000,Moderately Happy
Lithuania,"Survival to age 65, female (% of cohort)",87.5471830000,Moderately Happy
Lithuania,"Survival to age 65, male (% of cohort)",66.0714400000,Moderately Happy
Lithuania,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Lithuania,Urban population (% of total population),67.5160000000,Moderately Happy
Luxembourg,"Birth rate, crude (per 1,000 people)",10.4000000000,Extremely Happy
Luxembourg,Employment in agriculture (% of total employment) (modeled ILO estimate),1.3890000580,Extremely Happy
Luxembourg,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.6959999800,Extremely Happy
Luxembourg,"Employment in industry, female (% of female employment) (modeled ILO estimate)",3.3050000670,Extremely Happy
Luxembourg,"Employment in services, female (% of female employment) (modeled ILO estimate)",95.9990005500,Extremely Happy
Luxembourg,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",59.9090004000,Extremely Happy
Luxembourg,Fixed telephone subscriptions (per 100 people),46.5104492200,Extremely Happy
Luxembourg,GDP per capita (current US$),107627.1510000000,Extremely Happy
Luxembourg,GDP per capita growth (annual %),-0.6437428430,Extremely Happy
Luxembourg,"Incidence of tuberculosis (per 100,000 people)",6.2000000000,Extremely Happy
Luxembourg,Individuals using the Internet (% of population),97.3629603200,Extremely Happy
Luxembourg,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.6679992700,Extremely Happy
Luxembourg,"Life expectancy at birth, female (years)",84.4000000000,Extremely Happy
Luxembourg,"Life expectancy at birth, male (years)",79.9000000000,Extremely Happy
Luxembourg,"Life expectancy at birth, total (years)",82.0951219500,Extremely Happy
Luxembourg,Lifetime risk of maternal death (%),0.0070133340,Extremely Happy
Luxembourg,Mobile cellular subscriptions (per 100 people),134.1420148000,Extremely Happy
Luxembourg,"Mortality rate, infant (per 1,000 live births)",2.0000000000,Extremely Happy
Luxembourg,Net migration,48704.0000000000,Extremely Happy
Luxembourg,Rural population (% of total population),9.2730000000,Extremely Happy
Luxembourg,Secure Internet servers (per 1 million people),43014.3409100000,Extremely Happy
Luxembourg,"Survival to age 65, female (% of cohort)",92.6573460000,Extremely Happy
Luxembourg,"Survival to age 65, male (% of cohort)",87.7003520000,Extremely Happy
Luxembourg,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Luxembourg,Urban population (% of total population),90.7270000000,Extremely Happy
Madagascar,"Birth rate, crude (per 1,000 people)",32.8970000000,Very Sad
Madagascar,Employment in agriculture (% of total employment) (modeled ILO estimate),65.2310028100,Very Sad
Madagascar,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",61.6980018600,Very Sad
Madagascar,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.4280004500,Very Sad
Madagascar,"Employment in services, female (% of female employment) (modeled ILO estimate)",29.8740005500,Very Sad
Madagascar,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",87.5849990800,Very Sad
Madagascar,Fixed telephone subscriptions (per 100 people),0.2690286370,Very Sad
Madagascar,GDP per capita (current US$),515.2927249000,Very Sad
Madagascar,GDP per capita growth (annual %),1.1850147640,Very Sad
Madagascar,"Incidence of tuberculosis (per 100,000 people)",233.0000000000,Very Sad
Madagascar,Individuals using the Internet (% of population),9.8000000000,Very Sad
Madagascar,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",86.1979980500,Very Sad
Madagascar,"Life expectancy at birth, female (years)",67.9090000000,Very Sad
Madagascar,"Life expectancy at birth, male (years)",64.7280000000,Very Sad
Madagascar,"Life expectancy at birth, total (years)",66.3110000000,Very Sad
Madagascar,Lifetime risk of maternal death (%),1.5138811430,Very Sad
Madagascar,Mobile cellular subscriptions (per 100 people),34.1428400000,Very Sad
Madagascar,"Mortality rate, infant (per 1,000 live births)",39.1000000000,Very Sad
Madagascar,Net migration,-7500.0000000000,Very Sad
Madagascar,Rural population (% of total population),63.4780000000,Very Sad
Madagascar,Secure Internet servers (per 1 million people),4.9275455270,Very Sad
Madagascar,"Survival to age 65, female (% of cohort)",70.8563530000,Very Sad
Madagascar,"Survival to age 65, male (% of cohort)",63.6698700000,Very Sad
Madagascar,"Tuberculosis case detection rate (%, all forms)",53.0000000000,Very Sad
Madagascar,Urban population (% of total population),36.5220000000,Very Sad
Malawi,"Birth rate, crude (per 1,000 people)",34.5930000000,Very Sad
Malawi,Employment in agriculture (% of total employment) (modeled ILO estimate),44.6319999700,Very Sad
Malawi,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",44.6759986900,Very Sad
Malawi,"Employment in industry, female (% of female employment) (modeled ILO estimate)",10.3470001200,Very Sad
Malawi,"Employment in services, female (% of female employment) (modeled ILO estimate)",44.9770011900,Very Sad
Malawi,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",77.4710006700,Very Sad
Malawi,Fixed telephone subscriptions (per 100 people),0.0981143620,Very Sad
Malawi,GDP per capita (current US$),356.7175732000,Very Sad
Malawi,GDP per capita growth (annual %),1.2633985600,Very Sad
Malawi,"Incidence of tuberculosis (per 100,000 people)",185.0000000000,Very Sad
Malawi,Individuals using the Internet (% of population),13.7821643900,Very Sad
Malawi,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",76.8460006700,Very Sad
Malawi,"Life expectancy at birth, female (years)",66.4000000000,Very Sad
Malawi,"Life expectancy at birth, male (years)",60.1550000000,Very Sad
Malawi,"Life expectancy at birth, total (years)",63.2790000000,Very Sad
Malawi,Lifetime risk of maternal death (%),1.6761441990,Very Sad
Malawi,Mobile cellular subscriptions (per 100 people),43.9865126600,Very Sad
Malawi,"Mortality rate, infant (per 1,000 live births)",36.8000000000,Very Sad
Malawi,Net migration,-80263.0000000000,Very Sad
Malawi,Rural population (% of total population),83.2860000000,Very Sad
Malawi,Secure Internet servers (per 1 million people),10.4129763800,Very Sad
Malawi,"Survival to age 65, female (% of cohort)",67.4832550000,Very Sad
Malawi,"Survival to age 65, male (% of cohort)",53.3390320000,Very Sad
Malawi,"Tuberculosis case detection rate (%, all forms)",50.0000000000,Very Sad
Malawi,Urban population (% of total population),16.7140000000,Very Sad
Malaysia,"Birth rate, crude (per 1,000 people)",16.8670000000,Moderately Happy
Malaysia,Employment in agriculture (% of total employment) (modeled ILO estimate),10.9879999200,Moderately Happy
Malaysia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",6.6830000880,Moderately Happy
Malaysia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",19.7240009300,Moderately Happy
Malaysia,"Employment in services, female (% of female employment) (modeled ILO estimate)",73.5930023200,Moderately Happy
Malaysia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",74.7080001800,Moderately Happy
Malaysia,Fixed telephone subscriptions (per 100 people),21.1569680000,Moderately Happy
Malaysia,GDP per capita (current US$),10254.2340200000,Moderately Happy
Malaysia,GDP per capita growth (annual %),4.3132742120,Moderately Happy
Malaysia,"Incidence of tuberculosis (per 100,000 people)",94.0000000000,Moderately Happy
Malaysia,Individuals using the Internet (% of population),80.1404790100,Moderately Happy
Malaysia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",64.2269973800,Moderately Happy
Malaysia,"Life expectancy at birth, female (years)",78.0080000000,Moderately Happy
Malaysia,"Life expectancy at birth, male (years)",73.9030000000,Moderately Happy
Malaysia,"Life expectancy at birth, total (years)",75.8280000000,Moderately Happy
